,단지코드,총세대수,임대건물구분,지역,공가수,도보 10분거리 내 지하철역 수(환승노선 수 반영),도보 10분거리 내 버스정류장 수,단지내주차면수,등록차량수,국민임대A,국민임대B,공공임대(50년)A,영구임대C,임대상가D,영구임대E,영구임대F,국민임대E,국민임대G,국민임대H,공공임대(10년)A,공공임대(분납)A,장기전세A,영구임대I,공공분양D,영구임대A,행복주택J,행복주택K,행복주택L,공공임대(5년)A,행복주택M,행복주택N,행복주택O,평균면적,평균임대보증금,평균임대료
84,C2576,405,아파트,경상남도,19.0,0.0,4.0,296.0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.848543209876546,21438646.913580246,178508.0987654321
86,C1312,518,아파트,충청남도,12.0,0.0,3.0,527.0,359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.54714214285713,21650744.72779923,133601.8942084942
90,C1874,619,아파트,충청남도,2.0,0.0,2.0,97.0,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.772875605815827,3146012.9240710824,70009.17609046849
93,C1874,619,상가,충청남도,2.0,0.0,2.0,97.0,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.772875605815827,3146012.9240710824,70009.17609046849
120,C2650,875,아파트,부산광역시,13.0,0.0,4.0,616.0,159.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.661988571428566,12507840.0,118267.82857142857
123,C2416,560,아파트,경상남도,0.0,0.0,5.0,154.0,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.420589285714286,3262200.0,72587.14285714286
125,C2416,560,상가,경상남도,0.0,0.0,5.0,154.0,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.420589285714286,3262200.0,72587.14285714286
133,C2013,595,아파트,경상남도,3.0,0.0,3.0,509.0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.595648369747906,15565259.6,40875.044
136,C1424,625,아파트,대전광역시,2.0,0.0,7.0,517.0,179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.672315456,18019065.8336,213881.815232
139,C2100,880,아파트,대전광역시,4.0,0.0,5.0,736.0,671.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.784511363636355,23638113.636363637,94533.97727272728
145,C2621,1396,아파트,대전광역시,26.0,1.0,4.0,277.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.885458452722045,6047843.123209169,83585.18624641834
153,C2621,1396,상가,대전광역시,26.0,1.0,4.0,277.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.885458452722045,6047843.123209169,83585.18624641834
163,C2520,970,아파트,대전광역시,2.0,0.0,2.0,420.0,386.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.69,13155000.0,177500.0
164,C2319,606,아파트,대전광역시,1.0,1.0,12.0,548.0,266.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.29540092409241,18541276.333333332,252961.91422442242
168,C1616,1507,아파트,대전광역시,1.0,0.0,2.0,407.0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.62839416058395,20446984.73788985,67973.94824153949
171,C1616,1507,상가,대전광역시,1.0,0.0,2.0,407.0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.62839416058395,20446984.73788985,67973.94824153949
190,C1704,639,아파트,대전광역시,34.0,0.0,7.0,162.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.52959311424101,8478403.755868545,117167.69953051643
192,C1704,639,상가,대전광역시,34.0,0.0,7.0,162.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.52959311424101,8478403.755868545,117167.69953051643
207,C2258,965,아파트,대전광역시,13.0,0.0,3.0,287.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.119554404145088,6458586.528497409,89262.83937823834
210,C2258,965,상가,대전광역시,13.0,0.0,3.0,287.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.119554404145088,6458586.528497409,89262.83937823834
227,C1032,946,아파트,대전광역시,6.0,1.0,2.0,986.0,316.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.857843551797046,30672146.93446089,202452.66384778012
233,C2038,785,아파트,대전광역시,7.0,1.0,10.0,150.0,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.81244585987262,6137128.662420382,84819.66878980891
236,C2038,785,상가,대전광역시,7.0,1.0,10.0,150.0,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.81244585987262,6137128.662420382,84819.66878980891
253,C1859,2424,아파트,대전광역시,1.0,1.0,4.0,487.0,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.07305693069304,5979667.0792079205,82642.93729372937
258,C1859,2424,상가,대전광역시,1.0,1.0,4.0,487.0,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.07305693069304,5979667.0792079205,82642.93729372937
293,C1722,809,아파트,강원도,1.0,0.0,6.0,264.0,649.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.60833127317676,10891021.013597034,182938.45488257107
298,C1722,809,상가,강원도,1.0,0.0,6.0,264.0,649.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.60833127317676,10891021.013597034,182938.45488257107
304,C1850,388,아파트,경상남도,0.0,0.0,4.0,226.0,254.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.33603938144329,13771186.051546391,237050.29711340208
307,C2190,1013,아파트,경상남도,7.0,0.0,2.0,178.0,129.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0996643632774,3175070.088845015,70656.74234945705
311,C2190,1013,상가,경상남도,7.0,0.0,2.0,178.0,129.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0996643632774,3175070.088845015,70656.74234945705
328,C1476,453,아파트,경상남도,6.0,0.0,5.0,107.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.16247240618102,8396298.013245033,125778.36644591611
330,C1476,453,상가,경상남도,6.0,0.0,5.0,107.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.16247240618102,8396298.013245033,125778.36644591611
336,C1077,861,아파트,경상남도,21.0,0.0,5.0,612.0,236.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.733077816492454,19147334.49477352,142779.21022067365
339,C1068,806,아파트,충청남도,11.0,0.0,2.0,804.0,510.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.65176717121588,15117348.11662531,126182.59826302729
345,C1983,903,아파트,충청남도,3.0,0.0,4.0,200.0,253.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2634219269103,8872739.756367663,132403.7984496124
350,C1983,903,상가,충청남도,3.0,0.0,4.0,200.0,253.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2634219269103,8872739.756367663,132403.7984496124
360,C2135,1116,아파트,부산광역시,10.0,1.0,3.0,262.0,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.542275985663085,9752688.17204301,127810.3046594982
363,C2135,1116,상가,부산광역시,10.0,1.0,3.0,262.0,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.542275985663085,9752688.17204301,127810.3046594982
380,C2034,1486,아파트,부산광역시,2.0,1.0,3.0,405.0,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.055794078061908,9865467.698519515,128866.4535666218
383,C2034,1486,상가,부산광역시,2.0,1.0,3.0,405.0,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.055794078061908,9865467.698519515,128866.4535666218
409,C1109,1957,아파트,부산광역시,1.0,1.0,2.0,351.0,313.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.71214103219214,5975912.6213592235,82591.07307102709
411,C1109,1957,상가,부산광역시,1.0,1.0,2.0,351.0,313.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.71214103219214,5975912.6213592235,82591.07307102709
431,C1497,802,아파트,부산광역시,7.0,1.0,14.0,375.0,382.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.421097256857855,13220527.431421446,168220.03740648378
433,C2289,1527,아파트,부산광역시,2.0,0.0,3.0,240.0,364.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.699914865749854,6093117.878192535,84211.02161100197
437,C2289,1527,상가,부산광역시,2.0,0.0,3.0,240.0,364.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.699914865749854,6093117.878192535,84211.02161100197
457,C2597,1005,아파트,부산광역시,25.0,0.0,2.0,166.0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.87472636815921,5878274.626865672,81241.6616915423
460,C2597,1005,상가,부산광역시,25.0,0.0,2.0,166.0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.87472636815921,5878274.626865672,81241.6616915423
489,C2310,1988,아파트,부산광역시,1.0,0.0,2.0,217.0,189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.564532193158964,5891571.428571428,81425.36217303823
492,C2310,1988,상가,부산광역시,1.0,0.0,2.0,217.0,189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.564532193158964,5891571.428571428,81425.36217303823
512,C1672,1350,아파트,부산광역시,15.0,0.0,1.0,1043.0,873.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.543703703703706,18310973.333333332,224665.65925925926
514,C2132,2428,아파트,부산광역시,1.0,0.0,1.0,756.0,359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.592697693574948,4314358.731466227,71898.70263591433
518,C2132,2428,상가,부산광역시,1.0,0.0,1.0,756.0,359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.592697693574948,4314358.731466227,71898.70263591433
561,C1439,1755,아파트,부산광역시,29.0,1.0,3.0,270.0,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.088170940170947,5922170.94017094,81848.54700854702
564,C1439,1755,상가,부산광역시,29.0,1.0,3.0,270.0,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.088170940170947,5922170.94017094,81848.54700854702
609,C1613,840,아파트,부산광역시,7.0,1.0,1.0,594.0,498.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.34921428571429,20892166.666666668,265028.7619047619
612,C2216,390,아파트,충청남도,2.0,0.0,1.0,97.0,149.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.18,9443461.538461538,132876.92307692306
614,C1899,451,아파트,경상남도,0.0,0.0,4.0,109.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.056186252771624,8000738.359201774,120032.54988913526
616,C1899,451,상가,경상남도,0.0,0.0,4.0,109.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.056186252771624,8000738.359201774,120032.54988913526
620,C1056,410,아파트,제주특별자치도,0.0,0.0,10.0,120.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.493658536585368,3301951.2195121953,73473.17073170732
622,C1056,410,상가,제주특별자치도,0.0,0.0,10.0,120.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.493658536585368,3301951.2195121953,73473.17073170732
632,C2644,779,아파트,충청남도,7.0,0.0,12.0,190.0,177.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.07987029525032,10239797.405648267,143881.3332220796
636,C2644,779,상가,충청남도,7.0,0.0,12.0,190.0,177.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.07987029525032,10239797.405648267,143881.3332220796
639,C1206,755,아파트,강원도,1.0,0.0,4.0,88.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.188009258278147,3365587.0304635763,74893.12699337749
641,C1206,755,상가,강원도,1.0,0.0,4.0,88.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.188009258278147,3365587.0304635763,74893.12699337749
651,C2481,693,아파트,울산광역시,2.0,0.0,2.0,486.0,302.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.07336219336219,11898549.783549784,84118.35497835498
654,C1718,753,아파트,울산광역시,23.0,0.0,2.0,682.0,496.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.149150066401056,26208961.487383798,202763.86454183268
656,C1655,498,아파트,강원도,23.0,0.0,6.0,402.0,236.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.014257028112446,19938417.670682732,137988.3534136546
660,C1430,1533,아파트,부산광역시,32.0,0.0,3.0,1296.0,839.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.30381604696673,33244649.706457924,195515.68166992825
664,C1775,711,아파트,제주특별자치도,5.0,0.0,8.0,131.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5610829817159,4242160.337552743,78750.04219409282
666,C1775,711,상가,제주특별자치도,5.0,0.0,8.0,131.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5610829817159,4242160.337552743,78750.04219409282
681,C1519,420,아파트,제주특별자치도,0.0,0.0,0.0,393.0,235.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.848000000000006,15199600.0,91552.0
683,C2221,590,아파트,제주특별자치도,1.0,0.0,3.0,376.0,359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.52705084745763,15403888.13559322,246646.61016949153
691,C1790,657,아파트,경상남도,2.0,0.0,4.0,166.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.75421613394217,3346007.610350076,74456.40791476407
694,C1790,657,상가,경상남도,2.0,0.0,4.0,166.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.75421613394217,3346007.610350076,74456.40791476407
724,C2109,495,아파트,경상남도,2.0,0.0,4.0,117.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.304020202020205,3234133.3333333335,71963.15151515152
726,C2109,495,상가,경상남도,2.0,0.0,4.0,117.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.304020202020205,3234133.3333333335,71963.15151515152
741,C1698,460,아파트,경상남도,1.0,0.0,3.0,155.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.173999999999985,12752139.130434783,160621.04347826086
745,C1698,460,상가,경상남도,1.0,0.0,3.0,155.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.173999999999985,12752139.130434783,160621.04347826086
749,C1866,338,아파트,경상남도,1.0,0.0,3.0,235.0,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.07130177514793,10605695.26627219,87775.44378698224
753,C1005,1144,아파트,충청남도,16.0,0.0,8.0,950.0,376.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.44104895104895,16818111.88811189,217779.44055944055
756,C1004,521,아파트,충청남도,3.0,0.0,2.0,153.0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.490921305182354,4552537.428023033,101302.57197696737
758,C1004,521,상가,충청남도,3.0,0.0,2.0,153.0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.490921305182354,4552537.428023033,101302.57197696737
775,C1875,1003,아파트,충청남도,5.0,0.0,8.0,192.0,209.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.310398803589237,3169146.5603190428,70524.90528414756
778,C1875,1003,상가,충청남도,5.0,0.0,8.0,192.0,209.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.310398803589237,3169146.5603190428,70524.90528414756
797,C2156,306,아파트,충청남도,0.0,0.0,1.0,246.0,204.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.01577205882352,12020537.673202615,94432.16395424838
800,C2212,697,아파트,강원도,0.0,0.0,4.0,128.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5461549497848,4389767.575322812,81499.79913916787
803,C2212,697,상가,강원도,0.0,0.0,4.0,128.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5461549497848,4389767.575322812,81499.79913916787
814,C2401,213,아파트,강원도,21.0,0.0,3.0,164.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.390234741784035,35984497.65258216,77555.5868544601
817,C2571,481,아파트,경상남도,5.0,0.0,1.0,65.0,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.71494802494803,2973405.4054054054,66162.16216216216
818,C2571,481,상가,경상남도,5.0,0.0,1.0,65.0,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.71494802494803,2973405.4054054054,66162.16216216216
831,C1175,468,아파트,충청남도,15.0,0.0,2.0,477.0,430.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.859615384615374,27292846.153846152,163795.0
834,C1833,1364,아파트,제주특별자치도,19.0,0.0,5.0,1505.0,1001.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.038563049853366,16522577.712609971,143405.1759530792
841,C2445,800,아파트,충청북도,16.0,0.0,4.0,671.0,334.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0914125,12285916.25,112427.475
847,C1885,830,아파트,전라남도,14.0,0.0,4.0,802.0,616.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.7549156626506,18263600.0,118224.0
855,C2368,775,아파트,전라남도,10.0,0.0,4.0,738.0,548.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.72135483870968,19705600.0,133120.0
863,C2016,261,아파트,충청북도,15.0,0.0,2.0,198.0,220.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.824137931034485,12291490.421455938,104317.24137931035
867,C2371,474,아파트,경상북도,20.0,0.0,1.0,374.0,451.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.65210970464135,13528354.430379746,89567.38396624473
875,C2536,72,아파트,전라북도,7.0,0.0,1.0,54.0,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.809999999999995,10586666.666666666,58803.333333333336
878,C2538,1473,아파트,경기도,13.0,0.0,3.0,1299.0,799.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.79142566191445,24869841.819416158,265970.97759674134
897,C1014,996,아파트,전라북도,5.0,0.0,2.0,823.0,708.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.47584337349398,17621345.381526105,148407.38955823294
904,C1592,870,아파트,강원도,13.0,0.0,5.0,763.0,739.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.36216091954023,15672793.103448275,202792.183908046
911,C1867,678,아파트,경상남도,26.0,0.0,2.0,579.0,374.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.94342182890856,13177876.10619469,123895.2802359882
917,C2326,632,아파트,충청북도,15.0,0.0,4.0,478.0,557.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.96193037974684,13887813.291139241,119864.11392405063
922,C1015,961,아파트,부산광역시,28.0,0.0,3.0,928.0,579.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.06126951092612,13812204.994797086,121312.16441207076
930,C1620,1232,아파트,광주광역시,22.0,0.0,4.0,1181.0,1101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.76653409090909,19700843.344155844,112040.34090909091
935,C1049,676,아파트,광주광역시,18.0,0.0,3.0,658.0,762.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.833298816568046,22252417.159763314,126324.6449704142
940,C2000,1300,아파트,경상남도,21.0,0.0,2.0,1082.0,795.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.24146153846154,17544400.0,151116.07692307694
947,C2097,998,아파트,경상북도,29.0,0.0,2.0,1240.0,995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.99380761523046,39134497.99599198,91821.33266533066
954,C1668,493,아파트,전라남도,7.0,0.0,4.0,421.0,288.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.183326572008106,13433198.78296146,106652.92089249493
961,C1689,1117,아파트,경기도,4.0,1.0,3.0,985.0,960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.18342882721576,33857211.28021486,226816.44583706357
971,C1234,307,아파트,강원도,1.0,0.0,2.0,219.0,311.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.17048859934854,22938951.140065145,149183.55048859934
